Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
190030,CVE-2024-43491,9.8,Critical,10.200.2.10,tcp,0,Windows Print Spooler Remote Code Execution (PrintNightmare Variant),"The remote Windows host is affected by a critical Print Spooler vulnerability.","A remote code execution vulnerability exists in the Windows Print Spooler service. An authenticated attacker could exploit this vulnerability to execute arbitrary code with SYSTEM privileges. This is a variant of the original PrintNightmare vulnerability (CVE-2021-34527) that bypasses previous patches.","Apply the latest Windows Server cumulative update. If the Print Spooler service is not needed, disable it via: Stop-Service Spooler; Set-Service Spooler -StartupType Disabled","https://msrc.microsoft.com/update-guide","Installed: Windows Server 2022 Build 20348.2582; Print Spooler: Running; Required KB: KB5041578"
190031,CVE-2024-21312,8.1,High,10.200.2.10,tcp,0,.NET Framework Remote Code Execution,"The remote host is missing a .NET Framework security update.","The .NET Framework installation on the remote host is missing a critical security update. A remote code execution vulnerability exists in the way .NET Framework handles certain network requests. An attacker could exploit this to execute arbitrary code in the context of the application.","Apply the latest .NET Framework cumulative update via Windows Update or WSUS. Reference KB5034276.","https://msrc.microsoft.com/update-guide","Installed: .NET Framework 4.8.1 (4.8.9195); Required: .NET Framework 4.8.1 (4.8.9232)"
190032,CVE-2024-49040,7.5,High,10.200.4.20,tcp,443,AD FS Token Signing Certificate Weak Key,"The AD FS service uses a weak token signing certificate.","The Active Directory Federation Services (AD FS) on the remote host uses a token signing certificate with a 1024-bit RSA key. Per NIST SP 800-131A Rev 2, RSA keys shorter than 2048 bits are deprecated and should not be used for digital signatures after December 31, 2023.","Generate a new token signing certificate with at least 2048-bit RSA key. Update all relying party trust configurations with the new certificate.","https://nvd.nist.gov/vuln/detail/CVE-2024-49040","Token Signing Certificate Key Size: 1024-bit RSA; Minimum Required: 2048-bit RSA; Certificate Expiry: 2027-01-15"
190033,,7.5,High,10.200.2.11,tcp,5985,PowerShell Remoting Execution Policy Bypass,"PowerShell execution policy can be bypassed on the remote host.","The PowerShell execution policy on the remote host can be bypassed using the -ExecutionPolicy Bypass flag. Additionally, PowerShell Constrained Language Mode is not enforced. This allows an attacker with access to execute arbitrary PowerShell scripts without restriction.","Enable PowerShell Constrained Language Mode via Device Guard or WDAC policy. Configure AppLocker rules to restrict PowerShell script execution. Reference DISA STIG V-254260.","","PowerShell Version: 5.1.20348.2582; Execution Policy: RemoteSigned; Constrained Language Mode: Not Enforced; STIG Check V-254260: OPEN"
190034,,5.9,Medium,10.200.2.10,tcp,445,SMBv1 Protocol Remnants Detected,"SMBv1 protocol remnants are present on the remote host.","While SMBv1 has been disabled on the remote host, remnant DLL files and registry keys from the SMBv1 feature remain on the system. These remnants could potentially be re-enabled by an attacker with local administrator access.","Remove SMBv1 remnants using: Remove-WindowsFeature FS-SMB1. Verify with: Get-WindowsOptionalFeature -Online -FeatureName SMB1Protocol","","SMBv1 Status: Disabled; SMBv1 DLLs Present: Yes (mrxsmb10.sys); Registry Key: HKLM\SYSTEM\CurrentControlSet\Services\mrxsmb10 exists"
190035,,5.3,Medium,10.200.5.10,tcp,0,Windows Defender Exclusion Path Review,"Windows Defender has exclusions that reduce scanning coverage.","The Windows Defender antivirus on the remote host has path exclusions configured that reduce the scope of real-time protection scanning. While some exclusions may be necessary for application performance, excessive exclusions create blind spots for malware detection.","Review all Defender exclusions and remove any that are not strictly required by vendor documentation. Document all retained exclusions with business justification.","","Path Exclusions: C:\Program Files\Microsoft Configuration Manager\, D:\WSUS\, D:\SCCMContentLib\; Total Exclusions: 3"
190036,,5.3,Medium,10.200.1.10,tcp,443,SSL/TLS Weak Cipher Suites,"The remote host supports weak SSL/TLS cipher suites.","The remote host supports SSL/TLS cipher suites that use weak encryption algorithms. The following weak ciphers were detected: TLS_RSA_WITH_3DES_EDE_CBC_SHA. These should be disabled per NIST SP 800-52 Rev 2 and DISA STIG requirements.","Disable weak cipher suites via IIS Crypto tool or Group Policy. Only allow AES-256-GCM and AES-128-GCM cipher suites with ECDHE key exchange.","","Weak Ciphers: TLS_RSA_WITH_3DES_EDE_CBC_SHA (168-bit); STIG Check: V-254373 OPEN"
190037,,4.7,Medium,10.200.4.10,tcp,389,LDAP Signing Not Required,"LDAP signing is not required on the domain controller.","The domain controller does not require LDAP signing for client connections. Without LDAP signing, an attacker could perform man-in-the-middle attacks on LDAP communications to intercept or modify directory data.","Configure Group Policy: Computer Configuration > Windows Settings > Security Settings > Local Policies > Security Options > Domain controller: LDAP server signing requirements = Require Signing","","LDAP Signing: Not Required; GPO Setting: None; STIG Check: V-254362 OPEN"
190038,,4.3,Medium,10.200.1.10,tcp,443,HTTP Security Headers Missing,"The web application is missing recommended security headers.","The web application on the remote host does not include several recommended HTTP security headers: Content-Security-Policy, X-Content-Type-Options, and Strict-Transport-Security.","Configure the following headers in IIS: Content-Security-Policy, X-Content-Type-Options: nosniff, Strict-Transport-Security: max-age=31536000; includeSubDomains","","Missing: Content-Security-Policy, X-Content-Type-Options, X-Frame-Options"
190039,,4.3,Medium,10.200.4.20,tcp,443,SSL Certificate Expiring Within 90 Days,"The SSL certificate is approaching expiration.","The SSL certificate for adfs.eagleshield.gov.contractor expires in 76 days. Certificate expiration will cause authentication failures for all federated users and service disruptions.","Renew the SSL certificate before expiration. Implement automated certificate renewal via ACME protocol or certificate management tool.","","Certificate: adfs.eagleshield.gov.contractor; Expiry: 2026-05-15; Days Remaining: 76"
190040,,4.0,Medium,10.200.2.10,tcp,0,Windows Audit Policy Incomplete,"Windows audit policy does not meet STIG requirements.","The Windows advanced audit policy on the remote host is not configured to audit all required event categories per DISA STIG for Windows Server 2022. Object Access success and failure auditing is not enabled.","Configure advanced audit policy via Group Policy to enable: Audit Object Access (Success, Failure). Reference DISA STIG V-254239.","","STIG Check V-254239: OPEN; Object Access Success: Disabled; Object Access Failure: Disabled"
190041,,3.7,Low,10.200.4.10,tcp,53,DNS Zone Transfer Information Disclosure,"DNS zone transfers are not restricted.","The DNS server allows zone transfers to any requesting host, potentially exposing the complete DNS zone contents including all hostnames and IP addresses to an attacker.","Restrict DNS zone transfers to only authorized secondary DNS servers via DNS Manager > Zone Properties > Zone Transfers tab.","","Zone: eagleshield.local; Transfer Allowed: Any Server"
190042,,3.3,Low,10.200.2.10,tcp,0,PowerShell 2.0 Engine Enabled,"The legacy PowerShell 2.0 engine is available.","PowerShell 2.0 engine is enabled on the remote host. This legacy engine lacks security features like script block logging, module logging, and AMSI integration, allowing attackers to downgrade to PowerShell 2.0 to bypass security controls.","Disable PowerShell 2.0: Disable-WindowsOptionalFeature -Online -FeatureName MicrosoftWindowsPowerShellV2Root. STIG V-254258.","","PowerShell 2.0 State: Enabled; STIG V-254258: OPEN"
